Estacion,Longitud,Latitud,Distancia_Costa
AC01,-70.59866,-26.14788,7.015
AC02,-69.129067,-26.835517,166.364
AC04,-71.073928,-28.204575,8.3571
AC05,-70.273777,-28.836377,115.120
AC06,-70.354689,-27.357117,60.219
AC07,-70.8602,-27.1297,0.27932
AF01,-68.17876,-22.95196,219.037
AP01,-70.34197,-18.37084,1.708
AP02,-69.143334,-18.853959,125.762
AY02,-73.19474,-46.48392,168.963
AY03,-72.590769,-47.253042,132.539
AY04,-71.6909,-46.582606,301.453
AY05,-73.511667,-45.150958,2.278
BI02,-71.2731,-36.6634,153.122
BI03,-73.0258,-36.8438,11.471
BI04,-73.88622,-38.41161,0.414
BI05,-73.19051,-36.74784,0.112
BI06,-72.788472,-36.131306,1.680
BO01,-71.0848,-34.3917,87.078
BO02,-70.7814,-34.7924,123.543
BO03,-71.9612,-34.49605,6.065
BO04,-70.60902,-33.98884,119.232
CO01,-70.0939,-29.9773,121.188
CO02,-71.0003,-31.2037,61.890
CO03,-70.6891,-30.8389,96.002
CO04,-70.9747,-32.0433,51.992
CO05,-71.23841,-29.91864,3.753
CO06,-71.634987,-30.673813,6.446
CO10,-71.46087,-29.24057,0.441
DG06,-70.6624,-33.4563,91.922
GO01,-69.1942,-19.6685,101.981
GO02,-69.5904,-25.1626,86.586
GO03,-70.2347,-27.5937,66.152
GO04,-70.7993,-30.1727,57.291
GO05,-71.9303,-35.0099,23.616
GO06,-71.472,-39.5839,156.923
GO07,-73.6644,-43.1142,"115,.122"
GO08,-72.5566,-48.4648,223.886
GO09,-72.338097,-51.270699,135.646
GO10,-71.049797,-53.154598,121.449
HMBCX,-69.88791,-20.27822,25.364
IN44,-59.664009,-62.478742,1357.7122016142694
LC01,-71.87605,-38.89752,129.986
LC02,-73.39471,-38.79189,0.420
LL01,-72.4125,-42.3787,5.183
LL02,-71.84838,-43.19055,84.620
LL03,-72.40336,-41.1384,127.441
LL04,-72.40817,-40.90972,122.462
LL05,-73.47445,-41.405341,30.763
LL06,-73.6283,-42.215136,42.097
LL07,-73.47785,-42.83235,0.364
LR03,-72.345701,-39.632184,84.128
LR04,-73.425822,-39.88019,4.340
LR05,-72.0044,-40.229975,146.920
MG01,-67.63,-54.9322,29.504
MG02,-69.2242,-52.7808,11.163
MG03,-70.46275,-53.84798,9.316
MG04,-71.57,-52.8572,1.703
MG05,-72.5032,-51.6784,98.318
ML02,-71.4181,-35.7626,103.494
MNMCX,-69.59553,-19.13108,71.390
MT01,-71.2509,-33.8641,53.493
MT02,-71.1377,-33.2591,50.266
MT03,-70.5102,-33.4936,103.650
MT04,-70.136194,-33.466388,141.140
MT05,-70.7381,-33.3919,89.542
MT07,-71.015636,-32.975956,49.850
MT08,-70.133366,-33.405158,146.309
MT09,-70.98867,-33.77622,69.735
MT10,-70.53723,-33.27279,105.008
MT12,-70.54869,-33.73273,105.201
MT13,-70.28609,-33.7435,131.167
MT14,-70.536232,-33.39573,107.922
MT15,-70.506261,-33.599397,104.051
MT16,-70.523351,-33.42848,108.726
MT18,-70.66439,-33.4631,91.599
PATCX,-70.15288,-20.82071,3.527
PB01,-69.4874,-21.04323,69.934
PB02,-69.89603,-21.31973,18.149
PB03,-69.7531,-22.04847,45.423
PB04,-70.14918,-22.33369,10.151
PB05,-70.20235,-22.85283,9.833
PB06,-69.57188,-22.7058,72.813
PB07,-69.88618,-21.72667,27.313
PB08,-69.1534,-20.14112,103.451
PB09,-69.24192,-21.79638,93.322
PB10,-70.55408,-23.51343,2.483
PB11,-69.65582,-19.76096,52.572
PB12,-70.32809,-18.61406,1.121
PB14,-70.40379,-24.62597,15.567
PB15,-69.47092,-23.208335,115.155
PB16,-69.50767,-18.3351,85.442
PB18,-69.48,-17.58954,127.726
PB19,-69.290647,-23.90478,122.981
PSGCX,-70.12305,-19.59717,8.904
PX06,-70.24953,-23.51152,16.225
TA01,-70.1807,-20.5656,1.311
TA02,-70.1311,-20.2705,0.084
VA01,-71.647523,-33.022813,0.102
VA03,-70.5508,-32.7637,88.463
VA05,-71.61428,-33.65711,2.183
VA06,-71.29765,-32.56117,15.832
