id_evento,Estacion,Real,Estimacion
11520604_4.9,GO01,0,0.9274232387542725
11400427_4.9,CO02,0,0.1145777553319931
11331410_4.2,PB09,0,0.006872724741697311
11541449_4.3,PB06,0,1.8158161765313707e-05
2020_09_11 08_25_07_M4_5,PB09,1,0.9963269829750061
11539931_4.2,PB06,0,0.00011677248403429985
2020_01_28 05_09_55_M4_3,CO02,1,0.9855968356132507
11498297_4.2,PB06,0,0.00011329603876220062
2014_04_20 07_54_56_M5_0,GO01,1,0.9991114139556885
11189692_4.4,GO01,1,0.8704262375831604
11364376_4.4,PB06,0,0.0004930609138682485
11302796_4.3,PB06,0,4.766759593621828e-05
11456977_4.6,CO01,0,0.0001998718362301588
11358461_4.3,PB09,0,0.0010730251669883728
2015_09_26 06_16_31_M4_2,CO02,1,0.9902458190917969
11342373_4.2,PB09,0,0.0012249525170773268
11561514_4.1,PB09,0,0.35383379459381104
2014_06_12 12_28_54_M4_8,CO02,1,0.9988559484481812
11356264_4.2,PB09,0,0.001409693039022386
2015_07_25 00_50_06_M4_5,GO03,1,0.9955201148986816
2014_04_03 05_34_29_M5_0,GO01,1,0.9658452868461609
11318996_4.9,PB06,0,2.814342951751314e-05
11257187_4.4,PB09,0,0.0007269750931300223
11364140_4.9,PB09,0,0.03261766582727432
2014_03_25 02_13_43_M4_4,GO01,1,0.9417694211006165
11557011_4.6,CO01,0,0.010251249186694622
11537957_4.8,PB09,0,0.01435112114995718
2014_04_03 06_54_31_M5_0,GO01,1,0.9708159565925598
2020_11_04 23_49_08_M4_2,PB06,1,0.9858473539352417
2015_09_24 07_56_10_M4_5,CO02,1,0.971791684627533
11366873_4.8,CO02,0,0.06894198805093765
2014_04_03 13_01_37_M4_7,PSGCX,1,0.9967949390411377
11387057_4.1,GO01,0,0.02387114427983761
2014_06_20 20_22_27_M5_8,PSGCX,1,0.9987100958824158
11500899_4.6,GO01,0,0.4798937439918518
11405149_4.1,PB09,0,0.0034070585388690233
2020_07_07 03_50_36_M4_1,GO01,1,0.9729592800140381
11213898_4.2,PB06,0,1.647212411626242e-05
11250492_4.2,GO01,0,0.07452289760112762
11361063_4.8,GO01,1,0.9044642448425293
2019_12_26 09_28_57_M4_3,PB09,1,0.9979503750801086
11420634_4.3,GO01,1,0.8038297891616821
2017_01_13 13_43_04_M4_4,CO02,1,0.9967100620269775
10765597_4.2,PB09,0,0.004471717868000269
2017_01_08 00_33_47_M4_8,CO05,1,0.996021032333374
2020_09_01 10_31_52_M5_7,AC04,1,0.9892234802246094
11306441_4.5,PB09,0,0.010734290815889835
2014_05_17 17_55_47_M4_2,CO02,1,0.8745695352554321
2020_06_25 11_55_00_M5_2,CO02,1,0.9987812042236328
2014_04_10 00_10_32_M4_7,PATCX,1,0.9999790787696838
11272151_4.4,CO02,0,0.027698449790477753
2015_06_07 03_09_27_M4_5,GO03,1,0.9959298372268677
2021_03_14 10_33_53_M4_3,CO02,1,0.9989079833030701
11207847_4.1,PB06,0,8.902284025680274e-05
11510677_4.5,PB09,0,0.0012593762949109077
11508870_4.1,PB09,0,0.00833220686763525
2018_02_04 11_18_48_M4_4,GO03,1,0.9908676743507385
2020_05_11 06_15_47_M4_5,PB09,1,0.997857928276062
