id_evento,Estacion,Real_izq_der,Estimacion_izq_der,Real_distance,Estimacion_distance,Real_baz,Estimacion_baz,Distancia_Costa,costero,lat,lon
10043739_4.2,GO03,0.0,0.0,62.60986776,68.7341003417969,86.8185031400005,95.4626159667969,66.152,0.0,-27.5609,-69.6017
10045103_4.4,GO01,0.0,1.0,34.65957774,37.1165885925293,70.5744410100004,47.1195869445801,101.981,0.0,-19.5641,-68.8827
10048890_4.5,PB09,0.0,0.0,51.23933255,58.3755378723145,59.5998454817209,68.2408065795898,93.322,0.0,-21.5617,-68.8152
10271574_4.9,GO01,1.0,1.0,54.45605148,43.188850402832,298.154713,285.412017822266,101.981,0.0,-19.4358,-69.6514
10644560_4.1,PB09,0.0,0.0,70.10009622,70.4732360839844,89.2822683290308,92.6448211669922,93.322,0.0,-21.7871,-68.5641
10728722_5.0,PB09,0.0,0.0,55.04183197,73.6327590942383,42.6150675896071,64.4753265380859,93.322,0.0,-21.4302,-68.8824
10765597_4.2,PB09,0.0,0.0,77.90532782,82.9771347045898,87.3599465058015,93.5672607421875,93.322,0.0,-21.7623,-68.4895
10767967_4.7,AC02,0.0,0.0,127.4238681,113.403900146484,63.6389555599398,40.9035148620606,166.364,0.0,-26.3202,-67.9856
10944727_4.3,PB09,0.0,0.0,70.0592971,90.0429000854492,87.6416604741432,107.692695617676,93.322,0.0,-21.769,-68.5651
10993767_4.3,GO01,1.0,1.0,117.9876731,80.309928894043,210.8851964,206.008148193359,101.981,0.0,-20.5822,-69.7751
11037814_4.5,PB09,0.0,0.0,100.8443816,70.0321731567383,66.3860007511391,73.6411590576172,93.322,0.0,-21.4292,-68.3506
11051861_4.8,GO01,1.0,1.0,111.1668466,100.387191772461,351.4586979,343.291229248047,101.981,0.0,-18.6753,-69.3507
11108507_4.6,CO01,0.0,0.0,73.7889855,103.36572265625,69.2288071799997,84.8948211669922,121.188,0.0,-29.7393,-69.3807
11112614_4.2,GO01,1.0,1.0,14.31500776,35.7376670837402,275.791732799999,280.982360839844,101.981,0.0,-19.6554,-69.33
11138390_4.5,GO01,1.0,1.0,79.55302282,76.5720977783203,345.5734352,330.718353271484,101.981,0.0,-18.9724,-69.3824
11139127_4.1,PB06,0.0,0.0,64.07151995,80.5631256103516,59.2531739423566,67.9492340087891,72.813,0.0,-22.4091,-69.0371
11140459_4.1,PB09,0.0,0.0,80.95668263,79.8187408447266,69.7050157217657,73.4496612548828,93.322,0.0,-21.5412,-68.5089
11158193_4.4,GO03,0.0,0.0,94.1515193,75.5020294189453,132.4194915,125.770561218262,66.152,0.0,-28.165,-69.527
11175020_4.4,CO01,0.0,0.0,188.6297477,200.899307250977,139.2077049,148.539047241211,121.188,0.0,-31.2591,-68.8001
11189692_4.4,GO01,1.0,1.0,85.55383961,84.309944152832,351.7946379,274.329711914062,101.981,0.0,-18.9035,-69.3101
11191249_4.3,AC02,1.0,1.0,114.5575862,103.157135009766,347.428507929702,329.673950195312,166.364,0.0,-25.8261,-69.3778
11191807_4.2,GO01,1.0,1.0,83.45044942,54.9077529907227,187.5749796,174.304443359375,101.981,0.0,-20.4157,-69.2996
11205855_4.2,PB06,0.0,0.0,285.7064417,281.193878173828,129.173287294301,125.460647583008,72.813,0.0,-24.3203,-67.3899
11207847_4.1,PB06,0.0,0.0,299.347324,303.752197265625,119.968416899523,123.834480285645,72.813,0.0,-24.0355,-67.0227
11213898_4.2,PB06,0.0,0.0,334.9780826,302.631408691406,119.443103910664,120.702499389648,72.813,0.0,-24.1666,-66.7014
11214477_4.9,AC02,1.0,1.0,125.3622717,83.2473449707031,341.215582156262,335.360076904297,166.364,0.0,-25.7637,-69.5315
11214650_4.1,PB06,0.0,0.0,278.9711787,306.464996337891,99.9932974701863,120.766105651855,72.813,0.0,-23.1204,-66.8896
11220833_4.3,PB06,0.0,0.0,290.8709591,281.003173828125,124.286882058143,124.078994750977,72.813,0.0,-24.1677,-67.2071
11221480_4.2,PB06,0.0,0.0,302.5030185,290.762878417969,114.188087370497,120.269630432129,72.813,0.0,-23.8019,-66.8641
11222871_5.4,PB06,0.0,0.0,126.0284277,133.936386108398,93.9444766853681,107.236343383789,72.813,0.0,-22.7794,-68.3475
11226101_4.4,GO01,0.0,0.0,205.0656061,181.869598388672,74.1947254000001,73.4762954711914,101.981,0.0,-19.1542,-67.3185
11230142_4.8,PB06,0.0,0.0,283.2520895,296.506713867188,124.699159757274,126.084602355957,72.813,0.0,-24.1452,-67.2808
11239016_4.6,PB09,0.0,0.0,200.6896369,178.281616210938,105.501070681567,111.170433044434,93.322,0.0,-22.2701,-67.3655
11242786_4.4,PB09,0.0,0.0,73.78469806,73.7470550537109,52.8151144900422,69.1001815795898,93.322,0.0,-21.3927,-68.675
11250492_4.2,GO01,0.0,0.0,208.5779747,218.65739440918,61.9452294199999,55.6901969909668,101.981,0.0,-18.7739,-67.4484
11257187_4.4,PB09,0.0,0.0,79.9724024,85.0710067749023,64.6831183173864,63.622917175293,93.322,0.0,-21.4861,-68.5443
11261632_4.5,CO02,0.0,0.0,181.6655785,151.421157836914,111.6340452,107.476989746094,61.890,0.0,-31.7954,-69.2171
11267327_4.2,CO02,0.0,0.0,192.1271013,155.285140991211,106.3292879,104.625991821289,61.890,0.0,-31.6762,-69.0558
11272151_4.4,CO02,0.0,0.0,170.2840705,140.192581176758,101.1393708,100.512573242188,61.890,0.0,-31.4884,-69.2418
